"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment"
"277";"BTCUSD";"Vender";"2024.03.06 14:45:00";"66111.85";"0.10000";"2024.03.06 15:30:00";"66574.63";"-46.28";"18795.22";"IST";"SL";"-46.28";"85.69";"45m 0s";""
"1028";"BTCUSD";"Comprar";"2024.03.06 14:45:00";"66564.30";"0.10000";"2024.03.06 14:45:00";"66098.35";"-46.59";"18841.50";"IST";"SL";"-46.60";"6.26";"0s";""
"1031";"BTCUSD";"Comprar";"2024.03.06 15:30:00";"66564.30";"0.10000";"2024.03.06 16:15:00";"66564.30";"0.00";"18795.22";"IST";"MoveSL2BE";"-35.24";"24.36";"45m 0s";""
"1032";"BTCUSD";"Comprar";"2024.03.07 09:00:00";"66724.40";"0.10000";"2024.03.07 09:15:00";"66724.40";"0.00";"18795.22";"IST";"MoveSL2BE";"0.00";"9.24";"15m 0s";""
"1033";"BTCUSD";"Comprar";"2024.03.07 09:30:00";"66724.40";"0.10000";"2024.03.07 09:45:00";"66724.40";"0.00";"18795.22";"IST";"MoveSL2BE";"0.00";"12.61";"15m 0s";""
"279";"BTCUSD";"Vender";"2024.03.07 11:00:00";"66870.84";"0.10000";"2024.03.07 14:30:00";"67338.94";"-46.81";"18748.42";"IST";"SL";"-46.81";"41.29";"3h 30m";""
"1034";"BTCUSD";"Comprar";"2024.03.07 12:00:00";"66865.60";"0.10000";"2024.03.07 12:15:00";"66865.60";"0.00";"18795.22";"IST";"MoveSL2BE";"0.00";"20.40";"15m 0s";""
"280";"BTCUSD";"Vender";"2024.03.07 16:00:00";"67011.82";"0.10000";"2024.03.07 16:15:00";"67480.90";"-46.91";"18701.51";"IST";"SL";"-46.91";"0.71";"15m 0s";""
"281";"BTCUSD";"Vender";"2024.03.07 16:30:00";"67142.27";"0.10000";"2024.03.07 17:00:00";"67612.27";"-47.00";"18654.51";"IST";"SL";"-47.00";"11.41";"30m 0s";""
"1038";"BTCUSD";"Comprar";"2024.03.08 08:30:00";"67378.70";"0.10000";"2024.03.08 11:15:00";"67378.70";"0.00";"18654.51";"IST";"MoveSL2BE";"-31.21";"9.17";"2h 45m";""
"1039";"BTCUSD";"Comprar";"2024.03.08 12:45:00";"67482.10";"0.10000";"2024.03.08 13:15:00";"67482.10";"0.00";"18654.51";"IST";"MoveSL2BE";"-4.04";"22.17";"30m 0s";""
"282";"BTCUSD";"Vender";"2024.03.08 13:15:00";"67524.79";"0.10000";"2024.03.08 14:00:00";"67997.46";"-47.27";"18607.24";"IST";"SL";"-47.27";"22.68";"45m 0s";""
"1040";"BTCUSD";"Comprar";"2024.03.08 13:30:00";"67482.10";"0.10000";"2024.03.08 15:15:00";"69439.08";"195.70";"18802.94";"IST";"PT";"0.00";"195.70";"1h 45m";""
"1045";"BTCUSD";"Comprar";"2024.03.09 09:15:00";"68371.10";"0.10000";"2024.03.09 09:30:00";"68371.10";"0.00";"18802.94";"IST";"MoveSL2BE";"0.00";"4.12";"15m 0s";""
"1050";"BTCUSD";"Vender";"2024.03.09 11:00:00";"68217.20";"0.10000";"2024.03.09 11:15:00";"68217.20";"0.00";"18802.94";"IST";"MoveSL2BE";"0.00";"4.92";"15m 0s";""
"1053";"BTCUSD";"Comprar";"2024.03.09 12:30:00";"68258.30";"0.10000";"2024.03.09 14:30:00";"68258.30";"0.00";"18802.94";"IST";"MoveSL2BE";"0.00";"30.34";"2h 0m";""
"1055";"BTCUSD";"Comprar";"2024.03.10 09:30:00";"69503.20";"0.10000";"2024.03.10 11:30:00";"69503.20";"0.00";"18802.94";"IST";"MoveSL2BE";"0.00";"40.26";"2h 0m";""
"1057";"BTCUSD";"Comprar";"2024.03.10 12:00:00";"69680.80";"0.10000";"2024.03.10 12:30:00";"69680.80";"0.00";"18802.94";"IST";"MoveSL2BE";"-5.09";"17.41";"30m 0s";""
"286";"BTCUSD";"Vender";"2024.03.10 13:15:00";"69711.82";"0.10000";"2024.03.10 19:15:00";"69291.14";"42.07";"18845.01";"IST";"Exit After X Bars";"-7.59";"102.72";"6h 0m";""
